Datetime,beaconid,realx,realy,edge_50,edge_51,edge_53,edge_54,edge_55,edge_56,edge_58
2019-03-22T17:10:23.000000Z,3,8.414125,4.10775,-76.75,-78.5,-70.0,-81.0,-65.25,-76.0,-76.0
2019-03-22T17:10:23.500000Z,3,8.401666666666667,4.413833333333334,-83.0,-79.33333333333333,-68.0,-74.0,-65.25,-78.5,-71.0
2019-03-22T17:10:24.000000Z,3,8.390333333333334,4.587666666666667,-76.5,-82.5,-84.5,-70.0,-73.0,-59.5,-76.0
2019-03-22T17:10:24.500000Z,3,8.379000000000001,4.7615,-84.33333333333333,-77.5,-82.0,-73.66666666666667,-62.0,-67.66666666666667,-81.0
2019-03-22T17:10:25.000000Z,3,8.367666666666667,4.935333333333333,-78.0,-82.0,-78.5,-72.66666666666667,-74.0,-63.0,-86.33333333333333
2019-03-22T17:10:25.500000Z,3,8.356333333333334,5.109166666666667,-79.33333333333333,-77.5,-74.5,-75.0,-70.2,-58.333333333333336,-86.33333333333333
2019-03-22T17:10:26.000000Z,3,8.349250000000001,5.4651250000000005,-91.33333333333333,-85.66666666666667,-77.33333333333333,-80.5,-77.33333333333333,-62.75,-84.33333333333333
2019-03-22T17:10:26.500000Z,3,8.3535,5.6472500000000005,-80.0,-73.33333333333333,-81.33333333333333,-70.0,-69.0,-70.0,-81.5
2019-03-22T17:10:27.000000Z,3,8.35775,5.829375000000001,-78.66666666666667,-83.4,-78.5,-77.5,-69.66666666666667,-63.8,-82.5
2019-03-22T17:10:27.500000Z,3,8.362,6.0115,-85.0,-75.66666666666667,-75.66666666666667,-85.25,-79.33333333333333,-57.0,-73.66666666666667
2019-03-22T17:10:28.000000Z,3,8.36625,6.193625,-79.5,-84.0,-70.33333333333333,-68.0,-84.0,-62.0,-74.0
2019-03-22T17:10:28.500000Z,3,8.3705,6.37575,-79.5,-94.0,-83.0,-81.0,-84.0,-63.5,-73.0
2019-03-22T17:10:29.000000Z,3,8.374749999999999,6.557875,-79.5,-82.5,-79.5,-81.0,-76.66666666666667,-64.5,-71.0
2019-03-22T17:10:29.500000Z,3,8.186,6.7410000000000005,-79.5,-90.0,-70.0,-79.0,-76.66666666666667,-53.5,-73.33333333333333
2019-03-22T17:10:30.000000Z,3,7.992999999999999,6.742,-79.5,-87.5,-74.8,-79.0,-76.66666666666667,-59.25,-73.33333333333333
2019-03-22T17:10:30.500000Z,3,7.8,6.743,-72.5,-81.33333333333333,-82.0,-65.0,-73.0,-64.0,-88.0
2019-03-22T17:10:31.000000Z,3,7.607,6.744000000000001,-72.5,-71.0,-71.75,-63.0,-76.0,-65.5,-69.5
2019-03-22T17:10:31.500000Z,3,7.414,6.745,-77.75,-78.0,-73.0,-84.0,-77.5,-72.0,-81.0
2019-03-22T17:10:32.000000Z,3,7.085285714285714,6.735285714285714,-79.33333333333333,-78.0,-70.66666666666667,-67.5,-75.2,-76.33333333333333,-69.5
2019-03-22T17:10:32.500000Z,3,6.949571428571429,6.724571428571429,-76.5,-82.0,-68.0,-72.0,-76.0,-77.25,-84.0
2019-03-22T17:10:33.000000Z,3,6.813857142857143,6.713857142857143,-75.0,-80.0,-67.5,-73.5,-72.0,-66.0,-72.0
2019-03-22T17:10:33.500000Z,3,6.678142857142857,6.703142857142858,-80.5,-73.5,-70.66666666666667,-67.0,-84.0,-75.0,-75.0
2019-03-22T17:10:34.000000Z,3,6.542428571428571,6.692428571428572,-80.0,-84.5,-78.5,-67.0,-75.0,-77.0,-66.0
