Datetime,beaconid,realx,realy,edge_51,edge_53,edge_55,edge_56,edge_57
2019-04-01T23:08:43.000000Z,3,8.390333333333334,4.587666666666667,-85.66666666666667,-74.0,-76.0,-70.66666666666667,-69.0
2019-04-01T23:08:43.500000Z,3,8.379000000000001,4.7615,-76.0,-81.0,-77.0,-72.5,-74.8
2019-04-01T23:08:44.000000Z,3,8.367666666666667,4.935333333333333,-75.66666666666667,-74.75,-73.5,-64.2,-78.66666666666667
2019-04-01T23:08:44.500000Z,3,8.356333333333334,5.109166666666667,-77.25,-66.5,-69.5,-72.75,-82.5
2019-04-01T23:08:45.000000Z,3,8.186428571428571,5.310428571428572,-82.0,-74.5,-80.0,-61.0,-78.0
2019-04-01T23:08:45.500000Z,3,8.027857142857144,5.337857142857143,-84.33333333333333,-76.66666666666667,-76.66666666666667,-70.25,-76.0
2019-04-01T23:08:46.000000Z,3,7.869285714285715,5.365285714285714,-84.0,-69.5,-77.0,-71.66666666666667,-71.33333333333333
2019-04-01T23:08:46.500000Z,3,7.710714285714286,5.392714285714286,-79.75,-80.0,-70.25,-70.0,-73.8
2019-04-01T23:08:47.000000Z,3,7.552142857142858,5.420142857142857,-85.0,-79.0,-80.66666666666667,-71.66666666666667,-73.0
2019-04-01T23:08:47.500000Z,3,7.393571428571429,5.447571428571428,-79.75,-75.66666666666667,-76.75,-75.0,-71.33333333333333
2019-04-01T23:08:48.000000Z,3,7.090571428571429,5.4882857142857135,-71.0,-80.5,-70.0,-79.5,-62.0
2019-04-01T23:08:48.500000Z,3,6.946142857142857,5.501571428571428,-71.0,-73.0,-64.0,-79.5,-77.0
2019-04-01T23:08:49.000000Z,3,6.8017142857142865,5.514857142857142,-75.5,-64.25,-75.0,-81.0,-79.0
2019-04-01T23:08:49.500000Z,3,6.657285714285715,5.528142857142857,-78.0,-62.0,-81.0,-79.33333333333333,-75.5
2019-04-01T23:08:50.000000Z,3,6.512857142857143,5.541428571428571,-83.0,-73.6,-80.4,-79.25,-64.0
2019-04-01T23:08:50.500000Z,3,6.368428571428572,5.554714285714286,-74.0,-80.33333333333333,-75.0,-82.0,-65.33333333333333
2019-04-01T23:08:51.000000Z,3,6.230714285714286,5.7255714285714285,-82.5,-91.0,-77.5,-85.0,-75.5
2019-04-01T23:08:51.500000Z,3,6.2374285714285715,5.883142857142857,-80.0,-91.0,-82.25,-76.0,-75.5
