Datetime,beaconid,realx,realy,edge_2,edge_3,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-09-24T23:41:06.500000Z,1,12.029499999999999,9.720749999999999,-73.75,-74.8,-81.8,-81.5,-74.6,-83.25,-73.5,-61.666666666666664
2018-09-24T23:41:07.000000Z,1,12.465,9.6965,-74.4,-72.0,-74.0,-73.0,-67.66666666666667,-79.4,-79.33333333333333,-68.5
2018-09-24T23:41:07.500000Z,1,12.900500000000001,9.67225,-72.66666666666667,-76.0,-78.5,-73.0,-69.8,-78.75,-74.2,-63.0
2018-09-24T23:41:08.000000Z,1,13.717600000000001,9.653599999999999,-74.25,-66.66666666666667,-81.75,-78.75,-75.0,-81.0,-77.0,-55.0
2018-09-24T23:41:08.500000Z,1,14.0992,9.6592,-68.5,-65.75,-74.75,-82.0,-70.33333333333333,-79.0,-78.25,-52.666666666666664
2018-09-24T23:41:09.000000Z,1,14.4808,9.6648,-81.0,-68.0,-73.0,-81.33333333333333,-76.5,-85.5,-76.33333333333333,-55.6
2018-09-24T23:41:09.500000Z,1,14.8624,9.6704,-62.333333333333336,-66.25,-73.75,-71.2,-69.0,-81.66666666666667,-77.2,-51.2
2018-09-24T23:41:10.000000Z,1,15.697333333333333,9.738666666666667,-71.0,-71.33333333333333,-78.0,-79.25,-79.5,-84.33333333333333,-74.75,-64.0
2018-09-24T23:41:10.500000Z,1,16.150666666666666,9.801333333333334,-78.5,-79.0,-74.5,-79.33333333333333,-72.66666666666667,-82.75,-85.0,-68.2
2018-09-24T23:41:11.000000Z,1,16.94299975,9.86125,-66.0,-68.0,-70.0,-78.0,-72.0,-78.0,-71.5,-66.75
2018-09-24T23:41:11.500000Z,1,17.281999499999998,9.8585,-68.0,-68.0,-59.6,-79.5,-78.33333333333333,-74.33333333333333,-74.66666666666667,-71.6
2018-09-24T23:41:12.000000Z,1,17.62099925,9.85575,-76.25,-70.5,-69.0,-77.25,-69.2,-81.5,-80.0,-70.6
2018-09-24T23:41:12.500000Z,1,18.1337495,9.5075,-73.66666666666667,-70.4,-71.75,-72.66666666666667,-71.25,-87.5,-79.66666666666667,-68.8
2018-09-24T23:41:13.000000Z,1,18.3075,9.161999999999999,-72.4,-70.25,-81.75,-79.33333333333333,-72.0,-79.75,-75.66666666666667,-75.25
2018-09-24T23:41:13.500000Z,1,18.4812505,8.8165,-80.2,-76.66666666666667,-73.33333333333333,-82.0,-68.75,-91.0,-85.0,-74.2
